       ;15;50;100;200;300
0;100;100;100;100;100
2.5;100.15;99.95;100;99.9;100.1
5;100.2;100;100;99.9;100.2
7.5;100.4;100.1;100;99.9;100.3
10;100.5;100.2;100.1;99.9;100.3
12.5;100.7;100.35;100.1;100;100.45
15;100.9;100.5;100.2;100;100.5
17.5;101.05;100.6;100.25;100.15;100.4
20;101.3;100.7;100.4;100.2;100.5
22.5;101.45;100.85;100.45;100.35;100.6
25;101.7;101;100.6;100.5;100.7
27.5;101.95;101.2;100.7;100.55;100.8
30;102.2;101.4;100.8;100.7;100.9
32.5;102.4;101.55;100.95;100.8;101
35;102.6;101.7;101.1;100.9;101.1
37.5;102.85;101.85;101.3;100.95;101.2
40;103;102;101.5;101;101.3
42.5;103.2;102.2;101.65;101.1;101.3
45;103.3;102.4;101.8;101.2;101.4
47.5;103.45;102.55;101.95;101.3;101.5
50;103.6;102.7;102.1;101.4;101.6
52.5;103.7;102.8;102.2;101.45;101.6
55;103.8;102.9;102.3;101.5;101.7
57.5;103.85;103;102.45;101.6;101.7
60;103.9;103.1;102.5;101.7;101.8
62.5;104;103.1;102.6;101.7;101.8
65;104.1;103.2;102.6;101.7;101.8
67.5;104.2;103.2;102.7;101.7;101.8
70;104.3;103.2;102.7;101.7;101.7
72.5;104.4;103.3;102.7;101.6;101.7
75;104.4;103.3;102.7;101.5;101.6
77.5;104.5;103.3;102.8;101.5;101.5
80;104.6;103.4;102.7;101.4;101.4
82.5;104.6;103.4;102.7;101.35;101.3
85;104.7;103.5;102.7;101.3;101.2
87.5;104.7;103.55;102.7;101.3;101.1
90;104.8;103.6;102.6;101.2;101
92.5;104.8;103.7;102.55;101.2;100.9
95;104.8;103.7;102.5;101.2;100.8
97.5;104.9;103.8;102.4;101.1;100.7
100;105;103.9;102.3;101;100.6
102.5;105;103.9;102.3;100.9;100.5
105;105.1;104;102.2;100.8;100.4
107.5;105.1;104;102.2;100.75;100.25
110;105.2;104;102.1;100.6;100.1
112.5;105.2;104.05;102.1;100.5;99.95
115;105.2;104.1;102.1;100.4;99.7
117.5;105.3;104.1;102.1;100.3;99.55
120;105.3;104.1;102.1;100.2;99.4
122.5;105.4;104.1;102.1;100.05;99.2
125;105.4;104.1;102.1;99.9;99
127.5;105.5;104.1;102.1;99.8;98.85
130;105.5;104.1;102.1;99.7;98.7
132.5;105.6;104.1;102.1;99.55;98.45
135;105.7;104.1;102;99.4;98.2
137.5;105.7;104.1;102;99.25;98.05
140;105.8;104.1;101.9;99.1;97.9
142.5;105.85;104.05;101.9;98.95;97.65
145;105.9;104;101.8;98.7;97.5
147.5;105.9;104;101.8;98.55;97.25
150;105.9;104;101.7;98.4;97.1
152.5;105.9;103.95;101.6;98.15;96.85
155;105.9;103.9;101.5;98;96.6
157.5;105.9;103.9;101.4;97.75;96.45
160;105.9;103.9;101.3;97.6;96.2
162.5;105.8;103.9;101.1;97.35;95.95
165;105.8;103.9;100.9;97.1;95.6
167.5;105.8;103.9;100.75;96.8;95.35
170;105.8;103.8;100.5;96.5;95
172.5;105.8;103.7;100.25;96.1;94.65
175;105.8;103.5;100;95.7;94.3
177.5;105.8;103.15;99.65;95.35;93.9
180;105.7;102.9;99.4;94.9;93.5
182.5;105.7;102.65;99.15;94.5;93.1
185;105.5;102.5;98.8;94.1;92.7
187.5;105.2;102.2;98.3;93.7;92.3
190;104.7;101.9;97.9;93.1;91.9
192.5;104.05;101.55;97.5;92.6;91.5
195;102.6;101;97.1;92;91.2
197.5;96.05;100.1;96.6;91.6;90.75
200;79.5;98.7;96;91.2;90.4
202.5;53.4;95.65;95.15;90.85;90.1
205;29.1;87.6;94.2;90.4;89.6
207.5;15.55;70.5;93.3;89.85;89
210;10.5;47.9;92;89.1;88.4
212.5;8.95;28.65;89;88.2;87.8
215;8.1;17.7;81.6;87.3;87.2
217.5;7.5;13.55;66.65;86.55;86.65
220;7.1;11.8;47.2;85.7;86
222.5;6.6;10.7;30.8;84.85;85.2
225;6.3;9.9;21.4;84;84.3
227.5;5.9;9.2;17.5;82.95;83.55
230;5.6;8.6;15.7;81.4;82.9
232.5;5.3;8.1;14.5;78.2;82.35
235;5;7.6;13.6;71.4;81.7
237.5;4.75;7.2;12.75;59.35;80.9
240;4.5;6.8;12;44.6;80
242.5;4.25;6.45;11.35;32.4;79
245;4.1;6.1;10.8;25.3;78.1
247.5;3.75;5.75;10.2;22.05;77.3
250;3.6;5.5;9.8;20.4;75.9
252.5;3.4;5.25;9.3;19.25;72.85
255;3.2;5;8.8;18.3;66.6
257.5;3.05;4.75;8.4;17.45;56.3
260;2.9;4.5;8;16.7;44.1
262.5;2.75;4.3;7.65;15.95;33.95
265;2.7;4.1;7.3;15.2;27.7
267.5;2.6;3.9;6.95;14.6;24.75
270;2.5;3.8;6.6;14.1;23.1
272.5;2.4;3.6;6.35;13.5;22
275;2.3;3.5;6.1;13;21.1
277.5;2.2;3.3;5.85;12.5;20.35
280;2.1;3.2;5.5;12;19.6
282.5;2;3.05;5.25;11.5;18.85
285;1.9;2.9;5.1;11.1;18.2
287.5;1.9;2.8;4.85;10.6;17.55
290;1.9;2.7;4.7;10.2;16.9
292.5;1.75;2.6;4.5;9.8;16.25
295;1.7;2.5;4.3;9.4;15.6
297.5;1.6;2.4;4.15;9.05;15.1
300;1.6;2.3;4;8.8;14.6
302.5;1.5;2.25;3.85;8.45;14.2
305;1.5;2.2;3.7;8.1;13.8
307.5;1.45;2.1;3.55;7.8;13.3
310;1.4;2;3.4;7.5;12.8
312.5;1.3;2;3.3;7.25;12.4
315;1.2;1.9;3.2;7;12
317.5;1.2;1.8;3.05;6.8;11.55
320;1.1;1.8;3;6.6;11.2
322.5;1.05;1.7;2.85;6.35;10.85
325;0;1.7;2.8;6.2;10.5
327.5;0;1.75;2.65;6;10.2
330;0;1.7;2.6;5.8;9.8
332.5;0;0;2.45;5.6;9.55
335;0;0;2.4;5.4;9.3
337.5;0;0;2.35;5.25;9
340;0;0;2.2;5.1;8.7
342.5;0;0;0;4.95;8.45
345;0;0;0;4.8;8.2
347.5;0;0;0;4.65;7.95
350;0;0;0;4.5;7.7
352.5;0;0;0;4.35;7.45
355;0;0;0;4.1;7.2
357.5;0;0;0;3.9;6.95
360;0;0;0;4;6.7
362.5;0;0;0;0;6.6
365;0;0;0;0;6.4
367.5;0;0;0;0;6.15
370;0;0;0;0;6
372.5;0;0;0;0;5.75
375;0;0;0;0;5.5
377.5;0;0;0;0;5.45
380;0;0;0;0;5.3
